,Instance,vCPU,ECU,Memory (GiB),Instance Storage (GB),Linux/UNIX Usage
13,t3a.nano,2,Variable,0.5 GiB,EBS Only,0.0047
6,t3.nano,2,Variable,0.5 GiB,EBS Only,0.0052
20,t2.nano,1,Variable,0.5 GiB,EBS Only,0.0058
14,t3a.micro,2,Variable,1 GiB,EBS Only,0.0094
7,t3.micro,2,Variable,1 GiB,EBS Only,0.0104
21,t2.micro,1,Variable,1 GiB,EBS Only,0.0116
15,t3a.small,2,Variable,2 GiB,EBS Only,0.0188
8,t3.small,2,Variable,2 GiB,EBS Only,0.0208
22,t2.small,1,Variable,2 GiB,EBS Only,0.023
0,a1.medium,1,,2 GiB,EBS Only,0.0255
16,t3a.medium,2,Variable,4 GiB,EBS Only,0.0376
27,m6g.medium,1,,4 GiB,EBS Only,0.0385
9,t3.medium,2,Variable,4 GiB,EBS Only,0.0416
23,t2.medium,2,Variable,4 GiB,EBS Only,0.0464
1,a1.large,2,,4 GiB,EBS Only,0.051
17,t3a.large,2,Variable,8 GiB,EBS Only,0.0752
28,m6g.large,2,,8 GiB,EBS Only,0.077
10,t3.large,2,Variable,8 GiB,EBS Only,0.0832
90,c5.large,2,10,4 GiB,EBS Only,0.085
45,m5a.large,2,,8 GiB,EBS Only,0.086
24,t2.large,2,Variable,8 GiB,EBS Only,0.0928
36,m5.large,2,10,8 GiB,EBS Only,0.096
99,c5d.large,2,10,4 GiB,1 x 50 NVMe SSD,0.096
84,m4.large,2,6.5,8 GiB,EBS Only,0.1
115,c4.large,2,8,3.75 GiB,EBS Only,0.1
2,a1.xlarge,4,,8 GiB,EBS Only,0.102
53,m5ad.large,2,,8 GiB,1 x 75 NVMe SSD,0.103
108,c5n.large,2,10,5.25 GiB,EBS Only,0.108
154,r5a.large,2,,16 GiB,EBS Only,0.113
59,m5d.large,2,10,8 GiB,1 x 75 NVMe SSD,0.113
76,m5n.large,2,,8 GiB,EBS Only,0.119
145,r5.large,2,10,16 GiB,EBS Only,0.126
162,r5ad.large,2,,16 GiB,1 x 75 NVMe SSD,0.131
193,r4.large,2,8,15.25 GiB,EBS Only,0.133
68,m5dn.large,2,,8 GiB,1 x 75 NVMe SSD,0.136
168,r5d.large,2,10,16 GiB,1 x 75 NVMe SSD,0.144
185,r5n.large,2,,16 GiB,EBS Only,0.149
18,t3a.xlarge,4,Variable,16 GiB,EBS Only,0.1504
29,m6g.xlarge,4,,16 GiB,EBS Only,0.154
206,i3.large,2,8,15.25 GiB,1 x 475 NVMe SSD,0.156
11,t3.xlarge,4,Variable,16 GiB,EBS Only,0.1664
177,r5dn.large,2,,16 GiB,1 x 75 NVMe SSD,0.167
91,c5.xlarge,4,20,8 GiB,EBS Only,0.17
46,m5a.xlarge,4,,16 GiB,EBS Only,0.172
25,t2.xlarge,4,Variable,16 GiB,EBS Only,0.1856
199,z1d.large,2,12,16 GiB,1 x 75 NVMe SSD,0.186
100,c5d.xlarge,4,20,8 GiB,1 x 100 NVMe SSD,0.192
37,m5.xlarge,4,16,16 GiB,EBS Only,0.192
116,c4.xlarge,4,16,7.5 GiB,EBS Only,0.199
85,m4.xlarge,4,13,16 GiB,EBS Only,0.2
3,a1.2xlarge,8,,16 GiB,EBS Only,0.204
54,m5ad.xlarge,4,,16 GiB,1 x 150 NVMe SSD,0.206
109,c5n.xlarge,4,20,10.5 GiB,EBS Only,0.216
155,r5a.xlarge,4,,32 GiB,EBS Only,0.226
213,i3en.large,2,10,16 GiB,1 x 1250 NVMe SSD,0.226
60,m5d.xlarge,4,16,16 GiB,1 x 150 NVMe SSD,0.226
77,m5n.xlarge,4,,16 GiB,EBS Only,0.238
146,r5.xlarge,4,19,32 GiB,EBS Only,0.252
163,r5ad.xlarge,4,,32 GiB,1 x 150 NVMe SSD,0.262
194,r4.xlarge,4,16,30.5 GiB,EBS Only,0.266
69,m5dn.xlarge,4,,16 GiB,1 x 150 NVMe SSD,0.272
169,r5d.xlarge,4,19,32 GiB,1 x 150 NVMe SSD,0.288
186,r5n.xlarge,4,,32 GiB,EBS Only,0.298
19,t3a.2xlarge,8,Variable,32 GiB,EBS Only,0.3008
30,m6g.2xlarge,8,,32 GiB,EBS Only,0.308
